goos: windows
goarch: amd64
pkg: jr_cache_compare
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkGetHitParallel/maypok86/otter/10000-24                      	190070646	         2.917 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/maypok86/otter/100000-24                     	237640608	         3.530 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/Yiling-J/theine/10000-24                     	117835251	         4.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/Yiling-J/theine/100000-24                    	112548036	         4.951 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/bluele/gcache-LRU/10000-24                   	 6554976	        86.64 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetHitParallel/bluele/gcache-LRU/100000-24                  	 5240796	       109.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkGetHitParallel/bluele/gcache-LFU/10000-24                   	 3800359	       150.7 ns/op	      30 B/op	       1 allocs/op
BenchmarkGetHitParallel/bluele/gcache-LFU/100000-24                  	 2665803	       224.9 ns/op	      40 B/op	       1 allocs/op
BenchmarkGetHitParallel/allegro/bigcache/10000-24                    	53896249	        11.55 ns/op	      16 B/op	       2 allocs/op
BenchmarkGetHitParallel/allegro/bigcache/100000-24                   	47433454	        12.35 ns/op	      20 B/op	       1 allocs/op
BenchmarkGetHitParallel/coocood/freecache/10000-24                   	43944132	        13.36 ns/op	       7 B/op	       0 allocs/op
BenchmarkGetHitParallel/coocood/freecache/100000-24                  	43449922	        13.66 ns/op	       7 B/op	       0 allocs/op
BenchmarkGetHitParallel/patrickmn/go-cache/10000-24                  	 9272895	        63.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/patrickmn/go-cache/100000-24                 	 9597910	        61.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/orcaman/concurrent-map/10000-24              	45998160	        12.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/orcaman/concurrent-map/100000-24             	44164408	        13.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/ShardedMap/10000-24                 	37931638	        15.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkGetHitParallel/jr_cache/ShardedMap/100000-24                	37451546	        15.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/CacheMap-LRU/10000-24   	 5356744	       106.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/CacheMap-LRU/100000-24  	 4887720	       118.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/CacheMap-LFU/10000-24   	 1632099	       378.7 ns/op	      20 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/CacheMap-LFU/100000-24  	 1362914	       409.1 ns/op	      20 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/Sharded-LRU/10000-24    	 9560701	        60.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/Sharded-LRU/100000-24   	10541146	        60.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/Sharded-LFU/10000-24    	 2911684	       176.0 ns/op	      24 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/Sharded-LFU/100000-24   	 3698205	       191.9 ns/op	      22 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/Sharded-LRU-global/10000-24         	 3402729	       171.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/jr_cache/Sharded-LRU-global/100000-24        	 2890094	       214.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/hashicorp/golang-lru/10000-24                	 6130230	        97.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/hashicorp/golang-lru/100000-24               	 5432901	       110.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/hashicorp/golang-lru-2Q/10000-24             	 7299278	       102.9 ns/op	       1 B/op	       0 allocs/op
BenchmarkMixedZipfParallel/hashicorp/golang-lru-2Q/100000-24            	 4581291	       122.0 ns/op	       3 B/op	       0 allocs/op
